	Position	Contacts at 4.5 Å	SASA	genome	temp
102	107.5	11.22429906542056	48.74255899375065	RS_GCF_000015245.1	25.0
103	107.5	11.19626168224299	48.09391853952466	RS_GCF_000015285.1	5.0
104	109.0	11.262672811059907	50.06804910476304	RS_GCF_000015505.1	20.0
105	109.0	11.35483870967742	50.382929008044584	RS_GCF_000015565.1	27.0
106	110.0	11.251141552511415	49.91576203301708	RS_GCF_000015585.1	25.0
107	109.0	11.235023041474655	49.08912723560109	RS_GCF_000015725.1	27.0
108	107.5	11.22429906542056	49.60335287343227	RS_GCF_000016065.1	20.0
109	107.0	11.342723004694836	51.43475310741214	RS_GCF_000016165.1	37.0
110	108.0	11.144186046511628	49.263469721282334	RS_GCF_000016185.1	37.0
111	111.0	11.176470588235293	50.796661237463475	RS_GCF_000016345.1	28.0
112	108.0	11.432558139534883	49.66959461982825	RS_GCF_000016425.1	28.0
113	107.5	11.42056074766355	52.134959557645445	RS_GCF_000016545.1	65.0
114	95.5	11.389473684210527	50.92856917262665	RS_GCF_000016645.1	25.0
115	109.0	11.52073732718894	54.54032239451362	RS_GCF_000016785.1	80.0
116	95.0	11.365079365079366	48.87920834974413	RS_GCF_000017265.1	30.0
117	94.5	11.24468085106383	51.552370442588945	RS_GCF_000017305.1	30.0
118	108.5	11.333333333333334	53.0921896199835	RS_GCF_000017545.1	70.0
119	96.0	11.298429319371728	49.08649856607377	RS_GCF_000017565.1	30.0
120	95.5	11.421052631578947	51.0391187492665	RS_GCF_000017585.1	37.0
121	109.0	11.410138248847927	52.199891848743476	RS_GCF_000017805.1	50.0
122	107.5	11.19626168224299	49.304677978026334	RS_GCF_000018025.1	17.0
123	93.0	11.481081081081081	49.27641292678456	RS_GCF_000018105.1	25.0
124	107.0	11.173708920187794	48.87506136606291	RS_GCF_000018145.1	27.0
125	107.5	11.177570093457945	48.763833031229616	RS_GCF_000018285.1	25.0
126	107.0	11.511737089201878	50.73201960956171	RS_GCF_000018325.1	37.0
127	106.5	11.537735849056604	52.355017051671325	RS_GCF_000018605.1	55.0
128	109.5	11.36697247706422	51.2239701670685	RS_GCF_000018865.1	49.0
129	96.5	11.322916666666666	51.13491573067849	RS_GCF_000018885.1	15.0
130	109.5	11.385321100917432	53.85084651687754	RS_GCF_000018945.1	79.0
131	107.0	11.32394366197183	52.84861384281325	RS_GCF_000019085.1	65.0
132	107.5	11.177570093457945	48.52251626576422	RS_GCF_000019185.1	15.0
133	106.0	11.203791469194313	53.029839704733206	RS_GCF_000019345.1	37.0
134	107.5	11.214953271028037	49.46653172757777	RS_GCF_000019525.1	25.0
135	98.0	11.21025641025641	51.15924535163701	RS_GCF_000019725.1	30.0
136	109.0	11.299539170506913	49.180523856281205	RS_GCF_000019785.1	25.0
137	97.0	11.129533678756477	52.163991069119255	RS_GCF_000019845.1	27.0
138	107.0	11.145539906103286	50.33398006223978	RS_GCF_000019905.1	28.0
139	195.0	11.604113110539846	49.865025250637466	RS_GCF_000019965.1	28.0
140	106.5	11.367924528301886	52.52093471949951	RS_GCF_000020005.1	50.0
141	92.0	11.562841530054644	52.60087477685322	RS_GCF_000020025.1	19.0
142	111.0	11.239819004524886	50.0635776311903	RS_GCF_000020045.1	28.0
143	111.0	11.149321266968325	50.33643550094529	RS_GCF_000020125.1	30.0
144	107.0	11.295774647887324	51.97559958656063	RS_GCF_000020145.1	30.0
145	112.5	11.375	49.39996112622206	RS_GCF_000020365.1	26.0
146	107.0	11.267605633802816	49.36395669918029	RS_GCF_000020385.1	25.0
147	109.5	11.220183486238533	49.940912997378334	RS_GCF_000020465.1	25.0
148	107.0	11.352112676056338	52.66912826513368	RS_GCF_000020485.1	60.0
149	109.5	11.18348623853211	50.4126275037226	RS_GCF_000020505.1	25.0
150	96.5	11.572916666666666	51.023887428435955	RS_GCF_000020565.1	25.0
151	109.5	11.311926605504587	51.068207541908905	RS_GCF_000020625.1	25.0
152	100.5	11.45360824742268	50.05269533947748	RS_GCF_000020685.1	28.0
153	107.0	11.258215962441314	49.504204669572204	RS_GCF_000020725.1	30.0
154	106.5	11.518867924528301	50.94262579549647	RS_GCF_000020945.1	60.0
155	108.0	11.451162790697675	52.9098226159378	RS_GCF_000020965.1	70.0
156	107.5	11.514018691588785	51.512419337742756	RS_GCF_000020985.1	60.0
157	109.5	11.247706422018348	51.098407308931286	RS_GCF_000021325.1	30.0
158	105.5	11.304761904761905	52.78844781918219	RS_GCF_000021545.1	68.0
159	104.0	11.346341463414634	52.42349095124815	RS_GCF_000021565.1	70.0
160	108.0	11.544186046511628	53.21530061164909	RS_GCF_000021645.1	75.0
161	115.5	11.389380530973451	50.275197218300235	RS_GCF_000021685.1	70.0
162	96.5	11.552083333333334	49.57642019865398	RS_GCF_000021725.1	42.0
163	96.5	11.25	52.34836163307913	RS_GCF_000021745.1	25.0
164	109.0	11.133640552995391	50.997404581249526	RS_GCF_000021865.1	30.0
165	107.5	11.392523364485982	50.23049566163159	RS_GCF_000021925.1	35.0
166	109.5	11.394495412844037	51.29496282297092	RS_GCF_000021945.1	55.0
167	96.5	11.479166666666666	50.837788295731684	RS_GCF_000022025.1	28.0
168	107.5	11.411214953271028	52.459839968897455	RS_GCF_000022065.1	36.0
169	98.0	11.2	50.88981170036087	RS_GCF_000022085.1	28.0
170	107.5	11.36448598130841	49.98722050951584	RS_GCF_000022145.1	28.0
171	108.0	11.413953488372092	51.81838373475297	RS_GCF_000022325.1	75.0
172	128.0	11.330316742081449	50.44671508089752	RS_GCF_000022565.1	30.0
173	91.0	11.43646408839779	50.98370439292953	RS_GCF_000022905.1	37.0
174	107.5	11.261682242990654	49.60404382416344	RS_GCF_000023065.1	28.0
175	97.0	11.3717277486911	51.02369843614325	RS_GCF_000023105.1	30.0
176	95.5	11.463157894736842	49.126722330751534	RS_GCF_000023125.1	30.0
177	92.0	11.398907103825136	51.032526701796854	RS_GCF_000023145.1	37.0
178	111.5	11.27927927927928	50.45851418209643	RS_GCF_000023225.1	30.0
179	91.0	11.281767955801104	50.957813545472725	RS_GCF_000023245.1	28.0
180	113.0	11.470319634703197	50.293080427938435	RS_GCF_000023265.1	45.0
181	187.5	11.408602150537634	51.94945062279949	RS_GCF_000023285.1	37.0
182	108.0	11.488372093023257	50.16478278169027	RS_GCF_000023325.1	65.0
183	107.0	11.358288770053475	50.13208399562031	RS_GCF_000023405.1	30.0
184	112.0	11.354260089686099	49.45981980423253	RS_GCF_000023445.1	30.0
185	95.5	11.463157894736842	51.69312030258238	RS_GCF_000023465.1	27.0
186	109.0	11.11520737327189	48.56829355183874	RS_GCF_000023705.1	30.0
187	93.5	11.258064516129032	51.29257026869085	RS_GCF_000023785.1	30.0
188	95.0	11.312169312169312	51.71917887349321	RS_GCF_000023825.1	27.0
189	105.0	11.301435406698564	48.4031671119948	RS_GCF_000023845.1	37.0
190	91.5	11.384615384615385	50.92249662687329	RS_GCF_000023865.1	37.0
191	105.0	11.263157894736842	52.589718376349445	RS_GCF_000023905.1	37.0
192	112.5	11.321428571428571	47.86354204168821	RS_GCF_000024025.1	28.0
193	109.5	11.275229357798166	50.648842293196275	RS_GCF_000024085.1	30.0
194	187.0	11.208672086720867	53.75173295446098	RS_GCF_000024125.1	30.0
195	107.0	11.220657276995306	50.978078438225474	RS_GCF_000024205.1	37.0
196	108.0	11.46046511627907	50.80533400789143	RS_GCF_000024285.1	60.0
197	112.0	11.246636771300448	52.89716279605682	RS_GCF_000024325.1	35.0
198	95.0	11.46031746031746	51.623162513523454	RS_GCF_000024345.1	28.0
199	91.0	11.370165745856353	48.935575797469994	RS_GCF_000024365.1	25.0
200	108.5	11.37037037037037	52.22999065722417	RS_GCF_000024385.1	50.0
201	105.5	11.304761904761905	52.18816772763416	RS_GCF_000024405.1	37.0
202	108.0	11.311627906976744	49.23756321308907	RS_GCF_000024545.1	28.0
203	105.0	11.272727272727273	53.001440658363634	RS_GCF_000024565.1	37.0
204	107.0	11.39906103286385	52.24508448993136	RS_GCF_000024605.1	70.0
205	108.0	11.451162790697675	50.09234800628099	RS_GCF_000024765.1	25.0
206	90.5	11.255555555555556	49.57441094856648	RS_GCF_000024785.1	28.0
207	105.0	11.282296650717702	50.08536299752276	RS_GCF_000024805.1	30.0
208	107.5	11.514018691588785	50.58813846254228	RS_GCF_000024845.1	67.0
209	108.0	11.330232558139535	50.44415075245258	RS_GCF_000024865.1	28.0
210	95.5	11.48421052631579	48.67076865004578	RS_GCF_000024885.1	30.0
211	106.0	11.327014218009479	50.477339519009256	RS_GCF_000024905.1	55.0
212	97.5	11.40625	48.47825997359528	RS_GCF_000024925.1	30.0
213	115.0	11.403141361256544	51.05397352702566	RS_GCF_000024965.1	28.0
214	116.0	11.324444444444444	48.41835959394836	RS_GCF_000024985.1	55.0
215	96.0	11.298429319371728	52.93572953042282	RS_GCF_000025185.1	26.0
216	108.0	11.21860465116279	53.37694115301724	RS_GCF_000025225.2	37.0
217	112.5	11.27927927927928	53.81618043864133	RS_GCF_000025265.1	28.0
218	107.5	11.355140186915888	49.634182831280846	RS_GCF_000025305.1	37.0
219	97.5	11.288659793814434	50.988489160754774	RS_GCF_000025345.1	28.0
220	110.0	11.296803652968036	48.52237183355908	RS_GCF_000025485.1	25.0
221	106.0	11.327014218009479	52.77878688253302	RS_GCF_000025605.1	80.0
222	109.0	11.308755760368664	49.4154301724545	RS_GCF_000025705.1	27.0
223	108.0	11.265116279069767	50.644703738427616	RS_GCF_000025725.1	35.0
224	108.0	11.367441860465116	53.36112717633989	RS_GCF_000025845.1	37.0
225	107.5	11.30841121495327	53.023502126973135	RS_GCF_000025885.1	37.0
226	210.0	10.733509234828496	62.9910465371116	RS_GCF_000025905.1	25.0
227	95.5	11.389473684210527	50.45661957357728	RS_GCF_000025925.1	37.0
228	114.0	11.12888888888889	52.17283748792452	RS_GCF_000025945.1	7.0
229	109.0	11.262672811059907	48.89701721757595	RS_GCF_000025965.1	28.0
230	108.5	11.212962962962964	49.5428966168767	RS_GCF_000026105.1	30.0
231	107.5	11.242990654205608	50.577614831809065	RS_GCF_000026185.1	28.0
232	108.0	11.386046511627907	52.0216394606508	RS_GCF_000027145.1	37.0
233	107.5	11.280373831775702	50.09642133648504	RS_GCF_000027225.1	28.0
234	109.0	11.301435406698564	52.43205155144305	RS_GCF_000027325.1	37.0
235	108.0	11.348837209302326	50.049077222879745	RS_GCF_000058485.1	28.0
236	185.5	11.227027027027027	53.23933427140726	RS_GCF_000060345.1	25.0
237	91.0	11.38121546961326	52.74809398339134	RS_GCF_000062885.1	28.0
238	104.5	11.25	51.72207224295922	RS_GCF_000067165.1	30.0
239	109.5	11.174311926605505	50.2682906781124	RS_GCF_000067205.1	37.0
240	111.0	11.321266968325792	48.9387521367462	RS_GCF_000069785.1	37.0
241	107.5	11.336448598130842	50.653646770518726	RS_GCF_000091305.1	28.0
242	107.5	11.242990654205608	49.50644979622522	RS_GCF_000091325.1	4.0
243	92.5	11.554347826086957	50.978763285288004	RS_GCF_000091545.1	67.0
244	107.0	11.530516431924882	51.967388802597064	RS_GCF_000092105.1	30.0
245	92.0	11.344262295081966	52.23107715711042	RS_GCF_000092125.1	50.0
246	108.0	11.386046511627907	48.931501038954444	RS_GCF_000092205.1	30.0
247	91.0	11.314917127071823	50.67710150144612	RS_GCF_000092225.1	28.0
248	106.5	11.226415094339623	50.15511553343048	RS_GCF_000092245.1	25.0
249	109.0	11.511520737327189	49.525229623267236	RS_GCF_000092405.1	55.0
250	100.5	11.273684210526316	51.59893609558224	RS_GCF_000092425.1	50.0
251	94.5	11.344086021505376	49.50054795972951	RS_GCF_000092505.1	28.0
252	111.5	11.4	54.159046877101375	RS_GCF_000092785.1	25.0
253	91.5	11.32967032967033	50.36495993931351	RS_GCF_000092825.1	30.0
254	93.0	11.437837837837838	51.090789627442916	RS_GCF_000092845.1	37.0
255	96.0	11.301587301587302	50.79506176162768	RS_GCF_000092865.1	28.0
256	107.5	11.36448598130841	50.423914689620865	RS_GCF_000092905.1	50.0
257	97.5	11.309278350515465	49.560669773009764	RS_GCF_000092925.1	30.0
258	112.0	11.031963470319635	50.57449531203129	RS_GCF_000093025.1	25.0
259	97.5	11.288659793814434	52.115696763424616	RS_GCF_000143145.1	27.0
260	108.0	11.451162790697675	51.81938863526446	RS_GCF_000143685.1	37.0
261	91.0	11.303867403314918	51.62571165166912	RS_GCF_000143825.1	37.0
262	104.5	11.35576923076923	49.41379552303428	RS_GCF_000143845.1	37.0
263	107.0	11.427230046948356	50.23048453120495	RS_GCF_000143965.1	37.0
264	105.0	11.311004784688995	54.406305601018296	RS_GCF_000143985.1	36.0
265	95.5	11.410526315789474	49.831933544087896	RS_GCF_000144405.1	37.0
266	94.5	11.382978723404255	50.15325051705144	RS_GCF_000144605.1	30.0
267	107.0	11.230046948356808	50.55953924072682	RS_GCF_000144625.1	37.0
268	107.5	11.448598130841122	52.22238510749582	RS_GCF_000144645.1	68.0
269	107.0	11.427230046948356	52.04825815266231	RS_GCF_000144695.1	37.0
270	107.5	11.355140186915888	52.13605687191833	RS_GCF_000145215.1	75.0
271	108.5	11.435185185185185	49.14313972620665	RS_GCF_000145235.1	28.0
272	109.0	11.2073732718894	48.205243061154526	RS_GCF_000145255.1	28.0
273	108.5	11.50925925925926	51.81899506790176	RS_GCF_000145275.1	37.0
274	107.5	11.233644859813085	49.02203682611047	RS_GCF_000146165.2	30.0
275	107.0	11.267605633802816	50.31140538569059	RS_GCF_000146185.1	37.0
276	108.0	11.423255813953489	49.72974748634013	RS_GCF_000146345.1	37.0
277	99.5	11.071428571428571	53.97881269892386	RS_GCF_000146505.1	37.0
278	95.5	11.410526315789474	51.22499374400948	RS_GCF_000146675.1	37.0
279	108.5	11.12037037037037	50.73617733052955	RS_GCF_000147355.1	24.0
280	107.0	11.32394366197183	52.14138416245375	RS_GCF_000147675.1	37.0
281	107.0	11.305164319248826	53.63746505606498	RS_GCF_000147695.2	65.0
282	109.0	11.511520737327189	52.51657954315247	RS_GCF_000147715.2	37.0
283	107.5	11.186915887850468	48.70619221667163	RS_GCF_000148645.1	28.0
284	107.5	11.130841121495328	50.56422788306571	RS_GCF_000152725.1	30.0
285	97.5	11.309278350515465	51.86208905363924	RS_GCF_000152825.2	30.0
286	107.5	11.242990654205608	51.345678773289116	RS_GCF_000152885.1	28.0
287	208.0	11.208672086720867	51.652182721584836	RS_GCF_000152985.1	29.0
288	97.0	11.419689119170984	54.19873074099332	RS_GCF_000153105.1	30.0
289	107.5	11.046728971962617	49.00173900184776	RS_GCF_000153125.2	28.0
290	108.5	11.277777777777779	49.85983590666366	RS_GCF_000153185.1	27.0
291	109.0	11.271889400921658	49.569442070310274	RS_GCF_000153205.1	30.0
292	186.5	11.311827956989248	50.32581376490294	RS_GCF_000153225.1	4.0
293	108.0	11.237209302325581	49.04307980750004	RS_GCF_000153305.1	30.0
294	110.0	11.242009132420092	48.591940701535435	RS_GCF_000153345.1	25.0
295	108.0	11.348837209302326	50.355445548871465	RS_GCF_000153465.1	28.0
296	97.0	11.544041450777202	51.92450042917742	RS_GCF_000153485.2	7.0
297	107.5	11.242990654205608	51.70492523099855	RS_GCF_000153705.1	30.0
298	96.0	11.392670157068062	50.34996123921754	RS_GCF_000154465.1	37.0
299	97.5	11.29896907216495	51.52461984445172	RS_GCF_000154705.2	30.0
300	184.5	11.233695652173912	52.28993367597172	RS_GCF_000154725.1	30.0
301	108.0	11.18139534883721	48.29304263364988	RS_GCF_000154785.2	20.0
302	107.5	11.242990654205608	52.7991417584634	RS_GCF_000154825.1	37.0
303	95.0	11.417989417989418	50.021161740907026	RS_GCF_000154845.1	37.0
304	107.5	11.22429906542056	48.718659647669874	RS_GCF_000155675.2	4.0
305	107.5	11.19626168224299	48.09964065400032	RS_GCF_000155735.2	4.0
306	104.5	11.35576923076923	48.29941054422651	RS_GCF_000156175.1	37.0
307	108.0	11.432558139534883	50.44556491919811	RS_GCF_000156355.1	26.0
308	91.0	11.359116022099448	51.48098690661213	RS_GCF_000157895.3	37.0
309	97.5	11.31958762886598	50.709974587013726	RS_GCF_000158095.2	26.0
310	106.5	11.245283018867925	49.94340477222914	RS_GCF_000158175.1	26.0
311	107.5	11.317757009345794	51.16851917845728	RS_GCF_000158955.1	28.0
312	103.5	11.371134020618557	52.15938393871323	RS_GCF_000159015.1	37.0
313	92.0	11.431693989071038	49.84860684604369	RS_GCF_000159635.1	37.0
314	95.0	11.354497354497354	51.37298458505495	RS_GCF_000159995.1	37.0
315	108.5	11.407407407407407	51.705087736702204	RS_GCF_000160055.1	37.0
316	107.5	11.299065420560748	50.96667088156174	RS_GCF_000160115.1	37.0
317	107.0	11.342723004694836	52.54700948494276	RS_GCF_000160455.2	55.0
318	104.5	11.23076923076923	52.0064525448836	RS_GCF_000160475.1	37.0
319	95.5	11.452631578947368	50.485267155122344	RS_GCF_000160535.1	37.0
320	108.0	11.274418604651164	50.304599833246584	RS_GCF_000160695.1	37.0
321	91.5	11.0	52.36852369692838	RS_GCF_000160775.2	28.0
322	110.0	11.345622119815669	51.503420093438706	RS_GCF_000160835.1	37.0
323	108.5	11.277777777777779	52.496800768950514	RS_GCF_000160855.1	37.0
324	108.5	11.425925925925926	50.58186059478031	RS_GCF_000161455.1	30.0
325	110.5	11.440366972477063	51.968095613746485	RS_GCF_000161935.1	37.0
326	108.5	11.25925925925926	50.99703212868422	RS_GCF_000162475.2	37.0
327	107.0	11.39906103286385	51.82607082639631	RS_GCF_000163895.2	37.0
328	91.0	11.38121546961326	51.675636849307274	RS_GCF_000164135.1	37.0
329	107.5	11.205607476635514	48.91607115253459	RS_GCF_000164635.1	35.0
330	94.0	11.336898395721924	51.88901816170397	RS_GCF_000164695.2	37.0
331	107.5	11.271028037383177	49.714727805832595	RS_GCF_000165125.1	28.0
332	108.5	11.435185185185185	52.6344789376924	RS_GCF_000165465.1	35.0
333	107.0	11.258215962441314	50.30700156305568	RS_GCF_000165505.1	30.0
334	106.0	11.298578199052132	52.77037416194552	RS_GCF_000165715.2	30.0
335	107.5	11.42056074766355	50.90736410097202	RS_GCF_000165735.1	37.0
336	105.5	11.133333333333333	52.18061596122947	RS_GCF_000165795.1	37.0
337	108.5	11.296296296296296	50.583842689580855	RS_GCF_000166055.1	25.0
338	107.5	11.392523364485982	51.12425511861488	RS_GCF_000166135.1	28.0
339	96.0	11.350785340314136	49.59241127157429	RS_GCF_000166195.2	23.0
340	95.5	11.284210526315789	51.84784026187119	RS_GCF_000166275.1	28.0
341	107.5	11.467289719626168	51.74164859352411	RS_GCF_000166335.1	70.0
342	108.0	11.413953488372092	51.70599766164533	RS_GCF_000166355.1	65.0
343	95.5	11.273684210526316	52.26340542900599	RS_GCF_000166395.1	30.0
344	108.5	11.435185185185185	50.63871004677045	RS_GCF_000166415.1	30.0
345	108.0	11.404651162790698	51.88446915560776	RS_GCF_000166775.1	70.0
346	110.0	11.26027397260274	50.67830288061994	RS_GCF_000168715.1	25.0
347	97.5	11.31958762886598	52.29733629868062	RS_GCF_000168975.1	26.0
348	107.0	11.389671361502348	51.9430897545129	RS_GCF_000169155.1	60.0
349	96.0	11.497382198952879	50.14602080126916	RS_GCF_000169175.1	25.0
350	106.0	11.24170616113744	49.767493198712	RS_GCF_000169255.2	37.0
351	118.5	11.245454545454546	48.16010484216538	RS_GCF_000169415.1	30.0
352	101.0	11.246231155778894	51.36702881429388	RS_GCF_000170755.1	23.0
353	109.0	11.170506912442397	52.130792254839356	RS_GCF_000170835.1	28.0
354	105.0	11.205741626794259	49.298999039398495	RS_GCF_000170895.1	30.0
355	213.5	10.931216931216932	63.245498936938546	RS_GCF_000171235.2	25.0
356	113.0	11.265700483091788	52.36796198563222	RS_GCF_000172155.1	30.0
357	106.0	11.374407582938389	49.910150080277965	RS_GCF_000172975.1	42.0
